Name,Nation,NationStatus,Active,Club,Field 1 (from Club),Division,Position,Foot,Mentality,Primary,Secondary,Model,Level,ClubStatus,Transfer Status
Reece Burke,England,,checked,Luton Town,England,Premier League,CD,Right,Balanced,Stopper,Powerhouse,Gladiator,83,,
James Shea,England,,checked,Luton Town,England,Premier League,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,83,,
Dan Potts,England,,checked,Luton Town,England,Premier League,WD ,Left,Balanced,Cover,Engine,Workhorse,83,,
Issa Kaboré,Burkina Faso,,checked,Luton Town,England,Premier League,WD ,Right,Balanced,Sprinter,Cover,Flanker,85,,
Zach Nelson,England,,checked,Luton Town,England,Premier League,CM,Right,Balanced,Engine,Controller,Box-To-Box,82,,
Chiedozie Ogbene,Ireland,,checked,Luton Town,England,Premier League,WM,Right,Balanced,Sprinter,Dribbler,Spark,85,,
Carlton Morris,England,,checked,Luton Town,England,Premier League,CF,Right,Balanced,Powerhouse,Striker,Rifle,87,,
Jacob Brown,Scotland,,checked,Luton Town,England,Premier League,CM,Right,Balanced,Engine,Creator,Raumdeuter,84,,
Cauley Woodrow,England,,checked,Luton Town,England,Premier League,CM,Right,Balanced,Creator,Engine,Catalyst,83,,
Joe Johnson,England,,checked,Luton Town,England,Premier League,WD ,Left,Balanced,Sprinter,Engine,Raider,82,,
Alfie Doughty,England,,checked,Luton Town,England,Premier League,WM,Left,Balanced,Sprinter,Creator,Livewire,85,,
Albert Sambi Lokonga,Belgium,,checked,Luton Town,England,Premier League,CM,Right,Balanced,Controller,Creator,Metronome,85,,
Luke Berry,England,,checked,Luton Town,England,Premier League,CM,Right,Balanced,Engine,Creator,Raumdeuter,84,,
Teden Mengi,England,,checked,Luton Town,England,Premier League,CD,Right,Cautious,Stopper,Controller,Lynchpin,84,,
Daiki Hashioka,Japan,,checked,Luton Town,England,Premier League,WD ,Right,Balanced,Engine,Stopper,Destroyer,84,,
Andros Townsend,England,,checked,Luton Town,England,Premier League,WM,Either,Balanced,Creator,Striker,Fantasista,86,,
Fred Onyedinma,Nigeria,,checked,Luton Town,England,Premier League,WM,Right,Balanced,Sprinter,Dribbler,Spark,83,,
Elliot Thorpe,England,,checked,Luton Town,England,Premier League,CM,Right,Balanced,Controller,Engine,Conductor,80,,
Pelly-Ruddock Mpanzu,,,checked,Luton Town,England,Premier League,CM,Right,Balanced,Engine,Powerhouse,Bison,83,,
Elijah Adebayo,England,,checked,Luton Town,England,Premier League,CF,Right,Balanced,Aerial,Powerhouse,Bulldozer,87,,
Amari'i Bell,Jamaica,,checked,Luton Town,England,Premier League,WD ,Left,Balanced,Sprinter,Engine,Raider,82,,
Oliver Pipa,Spain,,checked,Luton Town,England,Championship,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,80,,
Jack Grealish,England,Reserve,checked,Manchester City,England,Premier League,WF,Right,Attacking,Dribbler,Creator,Wizard,89,Rotation,
Bernardo Silva,Portugal,Starter,checked,Manchester City,England,Premier League,CM,Left,Balanced,Creator,Engine,Catalyst,92,Starter,
Kevin De Bruyne,Belgium,Key,checked,Manchester City,England,Premier League,CM,Right,Attacking,Creator,Passer,Maestro,92,Key,
Ederson,Brazil,Rotation,checked,Manchester City,England,Premier League,GK,Left,Cautious,Distributor,Sweeper,Libero GK,93,Key,
Rodri,Spain,Starter,checked,Manchester City,England,Premier League,CM,Right,Cautious,Controller,Commander,Mastermind,93,Key,
Kyle Walker,England,Starter,checked,Manchester City,England,Premier League,WD ,Right,Balanced,Cover,Sprinter,Safety,92,Starter,
Erling Haaland,Norway,Key,checked,Manchester City,England,Premier League,CF,Left,Attacking,Powerhouse,Striker,Rifle,93,Key,
Phil Foden,England,Starter,checked,Manchester City,England,Premier League,CM,Left,Attacking,Creator,Striker,Fantasista,92,Key,
Ruben Dias,Portugal,Starter,checked,Manchester City,England,Premier League,CD,Right,Balanced,Stopper,Controller,Lynchpin,92,Starter,
Nathan Aké,Netherlands,Rotation,checked,Manchester City,England,Premier League,CD,Left,Balanced,Cover,Controller,Sweeper,90,Rotation,
Manuel Akanji,Switzerland,Starter,checked,Manchester City,England,Premier League,CD,Right,Cautious,Stopper,Aerial,Centre Back,90,Starter,
Jeremy Doku,Belgium,Rotation,checked,Manchester City,England,Premier League,WF,Right,Attacking,Dribbler,Sprinter,Winger,89,Rotation,
Mateo Kovacic,Croatia,Starter,checked,Manchester City,England,Premier League,CM,Right,Balanced,Controller,Creator,Metronome,88,Rotation,
Julian Alvarez,Argentina,Rotation,checked,Manchester City,England,Premier League,CF,Right,Balanced,Striker,Engine,Poacher,89,Rotation,
Matheus Nunes,Portugal,Rotation,checked,Manchester City,England,Premier League,CM,Right,Attacking,Creator,Dribbler,Magician,87,Rotation,
Josko Gvardiol,Croatia,Starter,checked,Manchester City,England,Premier League,CD,Left,Balanced,Stopper,Controller,Lynchpin,91,Starter,
John Stones,England,Starter,checked,Manchester City,England,Premier League,CD,Right,Balanced,Cover,Controller,Sweeper,91,Rotation,
Sergio Gomez,Spain,National Pool,checked,Manchester City,England,Premier League,WM,Left,Balanced,Passer,Creator,Playmaker,86,Rotation,
Rico Lewis,England,,checked,Manchester City,England,Premier League,WD ,Right,Balanced,Engine,Controller,Box-To-Box,86,Rotation,
Scott Carson,England,,checked,Manchester City,England,Premier League,GK,Right,Cautious,Orthodox,Commander,Sentinel,84,Reserve,
Mahamadou Susoho,Spain,,checked,Manchester City,England,Premier League,CM,Right,Cautious,Cover,Controller,Sweeper,83,Prospect,
Kayky,Brazil,,checked,Manchester City,England,Premier League,WF,Left,Attacking,Creator,Sprinter,Hurricane,84,Prospect,
Oscar Bobb,Sweden,,checked,Manchester City,England,Premier League,WF,Left,Attacking,Sprinter,Creator,Livewire,86,Rotation,
Micah Hamilton,England,,checked,Manchester City,England,Premier League,WF,Right,Balanced,Creator,Engine,Catalyst,84,Prospect,
Stefan Ortega,Germany,,checked,Manchester City,England,Premier League,GK,Right,Balanced,Distributor,Acrobat,Point Guard,86,Squad,
Callum Doyle,England,,checked,Manchester City,England,Premier League,CD,Left,Balanced,Stopper,Powerhouse,Gladiator,84,Prospect,
Spike Brits,England,,checked,Manchester City,England,Premier League,GK,,,,,,83,Wonderkid,
Lauren Hemp,England,,checked,Manchester City WFC,England,WSL,WF,Left,Attacking,Sprinter,Striker,Assassin,85,,
Alex Greenwood,England,,checked,Manchester City WFC,England,WSL,CD,Left,Balanced,Stopper,Controller,Lynchpin,84,,
Khadija Shaw,Jamaica,,checked,Manchester City WFC,England,WSL,CF,Right,Attacking,Powerhouse,Striker,Rifle,85,,
Alanna Kennedy,Australia,,checked,Manchester City WFC,England,WSL,,,,,,,81,,
Steph Houghton,England,,checked,Manchester City WFC,England,WSL,,,,,,,,,
Tara O'Hanlon,,,checked,Manchester City WFC,England,WSL,,,,,,,,,
Filippa Angeldahl,Sweden,,checked,Manchester City WFC,England,WSL,,,,,,,,,
Sandy MacIver,Scotland,,checked,Manchester City WFC,England,WSL,GK,,Cautious,,,,,,
Laura Coombs,England,,checked,Manchester City WFC,England,WSL,,,,,,,,,
Jess Park,England,,checked,Manchester City WFC,England,WSL,CF,Right,Balanced,Engine,Creator,Raumdeuter,83,,
Annie Hutchings,England,,checked,Manchester City WFC,England,WSL,,,,,,,,,
Poppy Pritchard,England,,checked,Manchester City WFC,England,WSL,,,,,,,,,
Laia Aleixandri,Spain,,checked,Manchester City WFC,England,WSL,,,,,,,82,,
Kerstin Casparij,Netherlands,,checked,Manchester City WFC,England,WSL,,,,,,,,,
Mary Fowler,Australia,,checked,Manchester City WFC,England,WSL,CF,Right,Attacking,Striker,Powerhouse,Hitman,84,,
Chloe Kelly,England,,checked,Manchester City WFC,England,WSL,WF,Right,Attacking,Creator,Passer,Maestro,84,,
Katie Startup,England,,checked,Manchester City WFC,England,WSL,GK,,Cautious,,,,,,
Demi Stokes,England,,checked,Manchester City WFC,England,WSL,,,,,,,,,
Esme Morgan,England,,checked,Manchester City WFC,England,WSL,,,,,,,,,
Leila Ouahabi,Spain,,checked,Manchester City WFC,England,WSL,,,,,,,,,
Khiara Keating,England,,checked,Manchester City WFC,England,WSL,GK,,Cautious,,,,,,
Ellie Roebuck,England,,checked,Manchester City WFC,England,WSL,GK,,Cautious,,,,,,
Ruby Mace,England,,checked,Manchester City WFC,England,WSL,,,,,,,,,
Yui Hasegawa,Japan,,checked,Manchester City WFC,England,WSL,CM,,,Controller,Passer,Regista,84,,
Laura Blindkilde,England,,checked,Manchester City WFC,England,WSL,,,,,,,,,
Aaron Wan-Bissaka,England,,checked,Manchester United,England,Premier League,WD ,Right,Balanced,Cover,Stopper,Terrier,86,,
Christian Eriksen,Denmark,Starter,checked,Manchester United,England,Premier League,CM,Right,Attacking,Passer,Creator,Playmaker,86,Rotation,
Marcus Rashford,England,,checked,Manchester United,England,Premier League,WF,Right,Attacking,Striker,Dribbler,Craque,88,,
Bruno Fernandes,Portugal,Starter,checked,Manchester United,England,Premier League,CM,Right,Attacking,Creator,Passer,Maestro,92,Key,
Kobbie Mainoo,England,Rotation,checked,Manchester United,England,Premier League,CM,Right,Balanced,Controller,Creator,Metronome,87,Starter,
Mason Mount,England,,checked,Manchester United,England,Premier League,CM,Right,Balanced,Engine,Controller,Box-To-Box,87,,
Antony,Brazil,,checked,Manchester United,England,Premier League,WF,Left,Attacking,Dribbler,Creator,Wizard,85,,
Andre Onana,Cameroon,Starter,checked,Manchester United,England,Premier League,GK,Right,Balanced,Distributor,Sweeper,Libero GK,90,Starter,
Raphael Varane,France,Retired,checked,Manchester United,England,Premier League,CD,Right,Cautious,Stopper,Sprinter,Shadow,89,Starter,Contract Expiring
Lisandro Martinez,Argentina,,checked,Manchester United,England,Premier League,CD,Left,Balanced,Stopper,Cover,Shield,88,,
Sofyan Amrabat,Morocco,,checked,Manchester United,England,Premier League,CM,Right,Cautious,Cover,Commander,Volante,87,,
Luke Shaw,England,Starter,checked,Manchester United,England,Premier League,WD ,Left,Balanced,Engine,Cover,Dynamo,87,Rotation,
Alejandro Garnacho,Spain,,checked,Manchester United,England,Premier League,WF,Right,Attacking,Sprinter,Striker,Assassin,87,,
Casemiro,Brazil,,checked,Manchester United,England,Premier League,CM,Right,Balanced,Cover,Commander,Volante,88,,
Rasmus Højlund,Denmark,Starter,checked,Manchester United,England,Premier League,CF,Left,Balanced,Powerhouse,Striker,Rifle,87,Starter,
Anthony Martial,France,,checked,Manchester United,England,Premier League,CF,Right,Attacking,Creator,Dribbler,Magician,86,,Contract Expiring
Scott McTominay,Scotland,,checked,Manchester United,England,Premier League,CM,Right,Balanced,Engine,Aerial,Boxcrasher,87,,
Willy Kambwala,France,,checked,Manchester United,England,Premier League,CD,Right,Balanced,Stopper,Sprinter,Shadow,85,,
Victor Lindelof,Sweden,,checked,Manchester United,England,Premier League,CD,Right,Balanced,Stopper,Cover,Shield,86,,
Amad Diallo,,,checked,Manchester United,England,Premier League,WF,Left,Attacking,Dribbler,Sprinter,Winger,84,,
Shola Shoretire,England,,checked,Manchester United,England,Premier League,WF,Right,Attacking,Creator,Dribbler,Magician,83,,
Tyrell Malacia,Netherlands,,checked,Manchester United,England,Premier League,WD ,Left,Attacking,Sprinter,Cover,Flanker,85,,
Tom Huddlestone,England,,checked,Manchester United,England,Premier League,CM,Right,Balanced,Controller,Passer,Regista,83,,
Omari Forson,England,,checked,Manchester United,England,Premier League,WF,Left,Balanced,Creator,Dribbler,Magician,84,,
Ethan Wheatley,England,,checked,Manchester United,England,Premier League,CF,Right,Attacking,Striker,Creator,Talisman,84,,
Diogo Dalot,Portugal,,checked,Manchester United,England,Premier League,WD ,Right,Balanced,Engine,Sprinter,Shuttler,88,,
Jonny Evans,Northern Ireland,,checked,Manchester United,England,Premier League,CD,Right,Balanced,Stopper,Cover,Shield,86,,
Harry Amass,England,,checked,Manchester United,England,Premier League,WD ,Left,Balanced,,,,83,,
Daniel Gore,,,checked,Manchester United,England,Premier League,CM,Right,Balanced,,,,84,,
Altay Bayındır,Turkey,,checked,Manchester United,England,Premier League,GK,Right,Cautious,Aerial,Orthodox,Barrier,86,,
Aoife Mannion,Ireland,,checked,Manchester United WFC,England,WSL,WD ,Right,Cautious,Stopper,Cover,Shield,80,,
Lisa Naalsund,Norway,,checked,Manchester United WFC,England,WSL,CM,Right,Balanced,Creator,Passer,Maestro,84,,
Emma Watson,Scotland,,checked,Manchester United WFC,England,WSL,CM,Right,Balanced,Engine,Controller,Box-To-Box,84,,
Lucía García,Spain,,checked,Manchester United WFC,England,WSL,CF,Right,Attacking,Striker,Creator,Talisman,84,,
Irene Guerrero,Spain,,checked,Manchester United WFC,England,WSL,CM,Right,Balanced,Controller,Cover,Halfback,,,
Hannah Blundell,England,,checked,Manchester United WFC,England,WSL,WD ,Left,,,,,,,
Maya Le Tissier,England,,checked,Manchester United WFC,England,WSL,CD,Right,Balanced,Stopper,Cover,Shield,84,,
Ella Toone,England,,checked,Manchester United WFC,England,WSL,CM,Right,Attacking,Creator,Dribbler,Magician,84,,
Gabby George,England,,checked,Manchester United WFC,England,WSL,CD,,Cautious,Stopper,Cover,Shield,,,
Jayde Riviere,Canada,,checked,Manchester United WFC,England,WSL,WD ,Right,Balanced,Stopper,Cover,Shield,83,,
Evie Rabjohn,England,,checked,Manchester United WFC,England,WSL,CD,Right,Balanced,Stopper,Cover,Shield,,,
Geyse,Brazil,,checked,Manchester United WFC,England,WSL,WF,Right,Attacking,Creator,Sprinter,Hurricane,83,,
Hinata Miyazawa,Japan,,checked,Manchester United WFC,England,WSL,CM,Right,Balanced,Creator,Dribbler,Magician,84,,
Katie Zelem,England,,checked,Manchester United WFC,England,WSL,CM,Right,Balanced,Controller,Passer,Regista,84,,
Millie Turner,England,,checked,Manchester United WFC,England,WSL,CD,Right,Balanced,Stopper,Cover,Shield,82,,
Rachel Williams,England,,checked,Manchester United WFC,England,WSL,CF,Right,Attacking,Striker,Powerhouse,Hitman,83,,
Gemma Evans,Wales,,checked,Manchester United WFC,England,WSL,WD ,,Cautious,Stopper,Cover,Shield,,,
Phallon Tullis-Joyce,,,checked,Manchester United WFC,England,WSL,GK,Right,Balanced,Sweeper,Distributor,Safeguard,82,,
Melvine Malard,France,,checked,Manchester United WFC,England,WSL,CF,Right,Attacking,Striker,Sprinter,Rocket,83,,
Hayley Ladd,Wales,,checked,Manchester United WFC,England,WSL,CM,Right,Balanced,Controller,Passer,Regista,82,,
Nikita Parris,England,,checked,Manchester United WFC,England,WSL,WF,Right,Attacking,Striker,Sprinter,Rocket,83,,
Leah Galton,England,,checked,Manchester United WFC,England,WSL,WF,Left,Attacking,Sprinter,Striker,Assassin,84,,
Mary Earps,England,,checked,Manchester United WFC,England,WSL,GK,Right,Cautious,Orthodox,Commander,Sentinel,80,,
Ona Batlle,Spain,,checked,Manchester United WFC,England,WSL,WD ,Right,Balanced,Engine,Sprinter,Shuttler,78,,
Jordan Bowery,England,,checked,Mansfield Town,England,League One,,,,,,,,,
Ollie Clarke,England,,checked,Mansfield Town,England,League One,,,,,,,,,
Hiram Boateng,England,,checked,Mansfield Town,England,League One,,,,,,,,,
Louis Reed,England,,checked,Mansfield Town,England,League One,CM,Right,Balanced,Engine,Controller,Box-To-Box,85,,
Tom Nichols,England,,checked,Mansfield Town,England,League One,,,,,,,,,
Will Swan,England,,checked,Mansfield Town,England,League One,,,,,,,,,
Baily Cargill,England,,checked,Mansfield Town,England,League One,,,,,,,,,
George Cooper,England,,checked,Mansfield Town,England,League One,,,,,,,,,
Christy Pym,England,,checked,Mansfield Town,England,League One,GK,,,,,,,,
Calum Macdonald,Scotland,,checked,Mansfield Town,England,League One,,,,,,,,,
George Maris,England,,checked,Mansfield Town,England,League One,,,,,,,,,
Keanu Baccus,Australia,,checked,Mansfield Town,England,League One,,,,,,,,,
Alfie Kilgour,England,,checked,Mansfield Town,England,League One,,,,,,,,,
Rhys Oates,England,,checked,Mansfield Town,England,League One,,,,,,,,,
Aden Flint,England,,checked,Mansfield Town,England,League One,CD,Right,Balanced,Aerial,Powerhouse,Bulldozer,85,,
James Gale,England,,checked,Mansfield Town,England,League One,,,,,,,,,
Scott Flinders,England,,checked,Mansfield Town,England,League One,GK,Right,,,,,,,
George Williams,England,,checked,Mansfield Town,England,League One,,,,,,,,,
Stephen Quinn,Ireland,,checked,Mansfield Town,England,League One,,,,,,,,,
Lucas Akins,England,,checked,Mansfield Town,England,League One,,,,,,,,,
Stephen McLaughlin,Ireland,,checked,Mansfield Town,England,League One,,,,,,,,,
Davis Keillor-Dunn,England,,checked,Mansfield Town,England,League One,WF,Right,Attacking,Dribbler,Striker,Attacker,85,,
Elliott Hewitt,Wales,,checked,Mansfield Town,England,League One,,,,,,,,,
Aaron Lewis,Wales,,checked,Mansfield Town,England,League One,,,,,,,,,
Jamie Jones,England,,checked,Middlesbrough,England,Championship,GK,Right,Cautious,Distributor,Acrobat,Point Guard,80,,
Law McCabe,England,,checked,Middlesbrough,England,Championship,CM,Right,Balanced,Controller,Passer,Regista,80,,
Isaiah Jones,England,,checked,Middlesbrough,England,Championship,WM,Right,Balanced,Dribbler,Creator,Wizard,82,,
Daniel Barlaser,England,,checked,Middlesbrough,England,Championship,CM,Right,Balanced,Controller,Creator,Metronome,83,,
Matthew Hoppe,,,checked,Middlesbrough,England,Championship,CF,Left,Attacking,Aerial,Sprinter,Machine,81,,
Anfernee Dijksteel,Suriname,,checked,Middlesbrough,England,Championship,WD ,Right,Balanced,Engine,Cover,Dynamo,84,,
Riley McGree,Australia,,checked,Middlesbrough,England,Championship,CM,Left,Attacking,Creator,Engine,Catalyst,83,,
Luke Ayling,England,,checked,Middlesbrough,England,Championship,WD ,Right,Balanced,Engine,Cover,Dynamo,84,,
Rav van den Berg,Netherlands,,checked,Middlesbrough,England,Championship,CD,Right,Balanced,Engine,Stopper,Destroyer,82,,
Jonny Howson,England,,checked,Middlesbrough,England,Championship,CM,Right,Balanced,Controller,Engine,Conductor,83,,
Emmanuel Latte Lath,,,checked,Middlesbrough,England,Championship,CF,Right,Attacking,Sprinter,Dribbler,Spark,83,,
Alex Gilbert,Ireland,,checked,Middlesbrough,England,Championship,WM,Left,Attacking,Engine,Creator,Raumdeuter,81,,
Josh Coburn,England,,checked,Middlesbrough,England,Championship,CF,Right,Attacking,Striker,Powerhouse,Hitman,83,,
Seny Dieng,Senegal,,checked,Middlesbrough,England,Championship,GK,Right,Balanced,Commander,Orthodox,Protector,82,,
Ian Poveda,England,,checked,Middlesbrough,England,Championship,WF,Left,Attacking,Dribbler,Creator,Wizard,82,,
Finn Cartwright,England,,checked,Middlesbrough,England,Championship,CM,Left,Balanced,Controller,Engine,Conductor,79,,
Hayden Hackney,England,,checked,Middlesbrough,England,Championship,CM,Right,Balanced,Creator,Engine,Catalyst,83,,
Tom Glover,Australia,,checked,Middlesbrough,England,Championship,GK,Right,Cautious,Orthodox,Aerial,Glove,80,,
Sam Greenwood,England,,checked,Middlesbrough,England,Championship,CF,Right,Attacking,Striker,Engine,Poacher,83,,
Darragh Lenihan,Ireland,,checked,Middlesbrough,England,Championship,CD,Right,Balanced,Stopper,Commander,Leader,84,,
Alex Bangura,Sierra Leone,,checked,Middlesbrough,England,Championship,WM,Left,Balanced,Sprinter,Engine,Raider,82,,
Dael Fry,England,,checked,Middlesbrough,England,Championship,CD,Right,Cautious,Aerial,Stopper,Colossus,83,,
Marcus Forss,Finland,,checked,Middlesbrough,England,Championship,CF,Right,Attacking,Striker,Sprinter,Rocket,84,,
Matt Clarke,England,,checked,Middlesbrough,England,Championship,CD,Left,Balanced,Stopper,Aerial,Centre Back,83,,
Lukas Engel,England,,checked,Middlesbrough,England,Championship,WM,Left,Balanced,Engine,Sprinter,Shuttler,83,,
Samuel Silvera,Australia,,checked,Middlesbrough,England,Championship,WM,Right,Attacking,Sprinter,Dribbler,Spark,80,,
Paddy McNair,Northern Ireland,,checked,Middlesbrough,England,,CD,Right,Balanced,Cover,Powerhouse,Cornerback,,,
Cameron Norman,England,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
Lewis Bate,England,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
Nathan Harness,England,,checked,Milton Keynes Dons,England,League Two,GK,,,,,,,,
Charlie Waller,England,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
Filip Marschall,England,,checked,Milton Keynes Dons,England,League Two,GK,,,,,,,,
Callum Tripp,England,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
Dan Kemp,England,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
Alex Gilbey,England,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
Matthew Dennis,England,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
Joe Tomlinson,England,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
Anthony Stewart,England,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
Dean Lewington,England,,checked,Milton Keynes Dons,England,League Two,,Left,,,,,,,
Max Dean,England,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
MJ Williams,Wales,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
Jack Payne,England,,checked,Milton Keynes Dons,England,League Two,,Right,,,,,,,
Brooklyn Ilunga,England,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
Jack Tucker,England,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
Daniel Harvie,Scotland,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
Ellis Harrison,Wales,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
Michael Kelly,Ireland,,checked,Milton Keynes Dons,England,League Two,GK,,,,,,,,
Stephen Wearne,England,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
Ronnie Sandford,England,,checked,Milton Keynes Dons,England,League Two,GK,,,,,,,,
Warren O'Hora,Ireland,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
Ethan Robson,England,,checked,Milton Keynes Dons,England,League Two,,,,,,,,,
Brandon Barker,England,,checked,Morecambe,England,League Two,,,,,,,,,
Lennon Dobson,England,,checked,Morecambe,England,League Two,,,,,,,,,
Jake Taylor,England,,checked,Morecambe,England,League Two,,,,,,,,,
Nathan Mercer,England,,checked,Morecambe,England,League Two,,,,,,,,,
Cammy Smith,Scotland,,checked,Morecambe,England,League Two,,,,,,,,,
Max Melbourne,England,,checked,Morecambe,England,League Two,,,,,,,,,
Chris Stokes,England,,checked,Morecambe,England,League Two,,,,,,,,,
Farrend Rawson,England,,checked,Morecambe,England,League Two,,,,,,,,,
Stuart Moore,England,,checked,Morecambe,England,League Two,GK,,,,,,,,
Charlie Brown,England,,checked,Morecambe,England,League Two,,,,,,,,,
Jacob Bedeau,Grenada,,checked,Morecambe,England,League Two,,,,,,,,,
Saul Fox-Akande,England,,checked,Morecambe,England,League Two,,,,,,,,,
David Tutonda,DR Congo,,checked,Morecambe,England,League Two,WD ,Left,Balanced,Sprinter,Engine,Raider,81,,
Jacob Davenport,England,,checked,Morecambe,England,League Two,,,,,,,,,
Kayden Harrack,Grenada,,checked,Morecambe,England,League Two,,,,,,,,,
Yann Songo'o,Cameroon,,checked,Morecambe,England,League Two,,,,,,,,,
Archie Mair,Scotland,,checked,Morecambe,England,League Two,GK,,,,,,,,
Gerard Garner,England,,checked,Morecambe,England,League Two,,,,,,,,,
Julian Larsson,Sweden,,checked,Morecambe,England,League Two,,,,,,,,,
Adam Fairclough,England,,checked,Morecambe,England,League Two,,,,,,,,,
Oscar Threlkeld,England,,checked,Morecambe,England,League Two,,,,,,,,,
Donald Love,Scotland,,checked,Morecambe,England,League Two,,,,,,,,,
Jordy Hiwula,England,,checked,Morecambe,England,League Two,,,,,,,,,
JJ McKiernan,Northern Ireland,,checked,Morecambe,England,League Two,CM,Right,Balanced,Engine,Controller,,80,,
Adam Smith,England,,checked,Morecambe,England,League Two,GK,,,,,,,,
George Pedley,England,,checked,Morecambe,England,League Two,GK,,,,,,,,
Jordan Slew,England,,checked,Morecambe,England,League Two,,Left,,,,,,,
Joel Senior,England,,checked,Morecambe,England,League Two,,,,,,,,,
Gwion Edwards,Wales,,checked,Morecambe,England,League Two,,,,,,,,,
Cameron Rooney,England,,checked,Morecambe,England,League Two,,,,,,,,,
Kieran Trippier,England,Rotation,checked,Newcastle United,England,Premier League,WD ,Right,Balanced,Passer,Cover,Provider,88,Starter,
Dan Burn,England,,checked,Newcastle United,England,Premier League,WD ,Left,Cautious,Aerial,Stopper,Colossus,87,,
Jamal Lascelles,England,,checked,Newcastle United,England,Premier League,CD,Right,Cautious,Stopper,Commander,Leader,85,,
Nick Pope,England,,checked,Newcastle United,England,Premier League,GK,Right,Cautious,Orthodox,Acrobat,Wall,88,,
Harvey Barnes,England,,checked,Newcastle United,England,Premier League,WF,Right,Attacking,Dribbler,Striker,Attacker,87,,
Bruno Guimaraes,Brazil,Starter,checked,Newcastle United,England,Premier League,CM,Right,Attacking,Controller,Striker,Marksman,92,Key,
Alexander Isak,Sweden,Key,checked,Newcastle United,England,Premier League,CF,Right,Balanced,Striker,Dribbler,Craque,90,Key,
Sandro Tonali,Italy,,checked,Newcastle United,England,Premier League,CM,Right,Balanced,Controller,Commander,Mastermind,88,,
Callum Wilson,England,,checked,Newcastle United,England,Premier League,CF,Right,Attacking,Striker,Aerial,Finisher,87,,
Sven Botman,Netherlands,,checked,Newcastle United,England,Premier League,CD,Right,Balanced,Stopper,Engine,Disruptor,88,,
Miguel Almiron,Paraguay,,checked,Newcastle United,England,Premier League,WF,Left,Balanced,Creator,Dribbler,Magician,88,,
Joelinton,Brazil,,checked,Newcastle United,England,Premier League,CM,Right,Balanced,Powerhouse,Engine,Tank,86,,
Fabian Schar,Switzerland,,checked,Newcastle United,England,Premier League,CD,Right,Attacking,Stopper,Striker,Hammer,87,,
Paul Dummett,England,,checked,Newcastle United,England,Premier League,WD ,Left,Balanced,Cover,Powerhouse,Cornerback,83,,
Lewis Miley,England,,checked,Newcastle United,England,Premier League,CM,Right,Balanced,Controller,Engine,Conductor,85,Wonderkid,
Elliot Anderson,Scotland,,checked,Newcastle United,England,Premier League,CM,Right,Balanced,Creator,Engine,Catalyst,85,,
Mark Gillespie,Ireland,,checked,Newcastle United,England,Premier League,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,80,,
Joe Willock,England,,checked,Newcastle United,England,Premier League,CM,Right,Attacking,Engine,Creator,Raumdeuter,85,,
Loris Karius,Germany,,checked,Newcastle United,England,Premier League,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,85,,
Sean Longstaff,England,,checked,Newcastle United,England,Premier League,CM,Right,Balanced,Engine,Cover,Dynamo,85,,
Matt Targett,England,,checked,Newcastle United,England,Premier League,WD ,Left,Balanced,Engine,Sprinter,Shuttler,84,,
Jacob Murphy,England,,checked,Newcastle United,England,Premier League,WM,Right,Balanced,Sprinter,Engine,Raider,86,,
Lewis Hall,England,,checked,Newcastle United,England,Premier League,WD ,Left,Balanced,Engine,Sprinter,Shuttler,85,,
Tino Livramento,England,,checked,Newcastle United,England,Premier League,WD ,Right,Balanced,Engine,Powerhouse,Bison,85,,
Emil Krafth,Sweden,,checked,Newcastle United,England,Premier League,WD ,Right,Balanced,Sprinter,Engine,Raider,84,,
Matt Ritchie,Scotland,,checked,Newcastle United,England,Premier League,WM,Left,Balanced,Passer,Creator,Playmaker,85,,
Anthony Gordon,England,Squad,checked,Newcastle United,England,Premier League,WF,Right,Attacking,Creator,Dribbler,Magician,88,Starter,
Garang Krol,Australia,,checked,Newcastle United,England,Premier League,CF,,,,,,84,Wonderkid,
Yankuba Minteh,,,checked,Newcastle United,England,Premier League,WF,,,,,,84,Wonderkid,
Martin Dúbravka,Slovakia,,checked,Newcastle United,England,Premier League,GK,Right,Cautious,Acrobat,Commander,Spider,86,,
