Name,Nation,Club,Position,Foot,Mentality,Primary Class,Secondary Class,Model,Level
Alvaro Odriozola,Spain,Real Sociedad,WD ,R,Balanced,Engine,Controller,Box-To-Box,84
James Justin,England,Leicester City,WD ,L,Balanced,Sprinter,Engine,Shuttler,84
Joe Rankin Costello,England,Blackburn Rovers,WD ,R,Balanced,Engine,Dribbler,Tornate,84
Aihen Munoz,Spain,Real Sociedad,WD ,L,Balanced,Engine,Cover,Dynamo,84
James Tarkowski,England,Everton,CD,R,Cautious,Stopper,Powerhouse,Rock,84
Tim Ream,USA,Fulham,CD,L,Cautious,Stopper,Commander,Leader,84
Roman Saiss,Morocco,Al-Shabab,CD,R,Balanced,Stopper,Commander,Leader,84
Eric Dier,England,Bayern Munich,CD,R,Balanced,Stopper,Commander,Leader,84
Moussa Niakhate,Senegal,Nottingham Forest,CD,L,Balanced,Stopper,Commander,Leader,84
Ezri Konsa,England,Aston Villa,CD,R,Balanced,Stopper,Engine,Train,84
Jakub Kiwior,Poland,Arsenal,CD,L,Balanced,Stopper,Powerhouse,Rock,84
Joe Gomez,England,Liverpool,CD,R,Balanced,Cover,Stopper,Cornerback,84
Castello Lukeba,France,RB Leipzig,CD,L,Balanced,Cover,Stopper,Cornerback,84
Neheun Perez,Argentina,Udinese,CD,R,Balanced,Stopper,Powerhouse,Rock,84
Goncalo Inacio,Portugal,Sporting,CD,L,Balanced,Stopper,Passer,Libero,84
Federico Gatti,Italy,Juventus,CD,R,Balanced,Stopper,Powerhouse,Rock,84
Josip Sutalo,Croatia,Ajax,CD,R,Balanced,Stopper,Aerial,Centre Back,84
Issa Diop,France,Fulham,CD,R,Cautious,Aerial,Stopper,Titan,84
Tyrone Mings,England,Aston Villa,CD,L,Cautious,Powerhouse,Aerial,Tank,84
Nathan Collins,Ireland,Brentford,CD,R,Balanced,Aerial,Powerhouse,Colossus,84
Kristoffer Ajer,Denmark,Brentford,CD,R,Balanced,Aerial,Engine,Boxcrasher,84
Chris Mepham,Wales,Bournemouth,CD,R,Balanced,Stopper,Cover,Shield,84
Joachim Andersen,Denmark,Crystal Palace,CD,R,Balanced,Stopper,Powerhouse,Rock,84
Jan Paul van Hecke,Netherlands,Brighton,CD,R,Balanced,Stopper,Controller,Lynchpin,84
Radu Dragusin,Romania,Tottenham Hotspur,CD,R,Cautious,Stopper,Powerhouse,Rock,84
Craig Dawson,England,Wolves,CD,R,Cautious,Stopper,Cover,Shield,84
Felipe,Brazil,Nottingham Forest,CD,R,Cautious,Stopper,Commander,Leader,84
Jonny Evans,Northern Ireland,Manchester United,CD,R,Balanced,Stopper,Cover,Shield,84
Jorrel Hato,Netherlands,Ajax,CD,L,Balanced,Stopper,Cover,Shield,84
Jannik Vestergaard,Denmark,Leicester City,CD,R,Balanced,Aerial,Stopper,Titan,84
Duje Caleta-Car,Croatia,OL,CD,R,Balanced,Powerhouse,Aerial,Tank,84
Gabriel Paulista,Brazil,Atletico Madrid,CD,R,Cautious,Stopper,Cover,Shield,84
Aissa Mandi,Algeria,Villarreal,CD,R,Attacking,Stopper,Cover,Shield,84
Gaston Avila,Argentina,Ajax,CD,L,Attacking,Stopper,Controller,Lynchpin,84
Harry Souttar,Australia,Leicester City,CD,R,Cautious,Aerial,Stopper,Titan,84
Jan Bednarek,Poland,Southampton,CD,R,Balanced,Powerhouse,Engine,Gladiator,84
Marc Barta,Spain,Real Betis,CD,L,Balanced,Stopper,Engine,Train,84
Ben Wilmot,England,Stoke City,CD,R,Cautious,Stopper,Engine,Train,84
Diego Llorente,Spain,AS Roma,CD,R,Attacking,Stopper,Controller,Lynchpin,84
Stefan Savic,Montenegro,Atletico Madrid,CD,R,Balanced,Stopper,Cover,Shield,84
Grant Hanley,Scotland,Norwich City,CD,R,Cautious,Stopper,Commander,Leader,84
Lorenzo Pirola,Italy,Salernitana,CD,L,Balanced,Stopper,Engine,Train,84
Darragh Lenihan,Ireland,Middlesbrough,CD,R,Balanced,Stopper,Commander,Leader,84
Sebastian Boselli,Argentina,River Plate,CD,R,Balanced,Stopper,Sprinter,Shadow,84
Juanpe,Spain,Girona,CD,R,Balanced,Stopper,Aerial,Centre Back,84
Wesley Hoedt,Netherlands,Watford,CD,L,Balanced,Aerial,Stopper,Titan,84
Solly March,England,Brighton,WM,L,Balanced,Creator,Engine,Catalyst,84
Johann Berg Gudmundsson,Iceland,Burnley,WM,L,Balanced,Dribbler,Striker,Attacker,84
Steven Berghuis,Netherlands,Ajax,WM,L,Attacking,Creator,Passer,Maestro,84
Yeremy Pino,Spain,Villarreal,WM,R,Attacking,Dribbler,Sprinter,Winger,84
Nicola Zalewski,Poland,AS Roma,WM,R,Balanced,Creator,Engine,Catalyst,84
Pepe,Brazil,Porto,WM,R,Balanced,Dribbler,Sprinter,Winger,84
Bobby Decordova-Reid,Jamaica,Fulham,WM,R,Balanced,Creator,Engine,Catalyst,84
Sergio Gomez,Spain,Manchester City,WM,L,Balanced,Passer,Engine,,84
Emiliano Buendia,Argentina,Aston Villa,WM,R,Balanced,Engine,Creator,Raumdeuter,84
Jacob Ramsey,England,Aston Villa,WM,R,Attacking,Dribbler,Creator,Wizard,84
Jean-Ricner Bellegarde,France,Wolves,WM,R,Attacking,Dribbler,Creator,Wizard,84
David Brooks,Wales,Bournemouth,WM,L,Attacking,Dribbler,Creator,Wizard,84
Samuel Lino,Brazil,Atletico Madrid,WM,R,Balanced,Sprinter,Engine,Shuttler,84
Fabio Carvalho,Portugal,RB Leipzig,WM,R,Attacking,Creator,Dribbler,Magician,84
Ilias Chair,Morocco,QPR,WM,R,Balanced,Creator,Dribbler,Magician,84
Yan Couto,Brazil,Girona,WM,R,Balanced,Controller,Dribbler,Carrier,84
Jesus Corona,Mexico,Monterry,WM,R,Attacking,Dribbler,Creator,Wizard,84
Borja Sainz,Spain,Norwich City,WM,R,Attacking,Creator,Dribbler,Magician,84
Alex Baena,Spain,Villarreal,WM,R,Attacking,Creator,Passer,Maestro,84
Valentin Barco,Argentina,Brighton,WM,L,Balanced,Controller,Cover,,84
Jaden Philogene,England,Hull City,WM,R,Attacking,Dribbler,Sprinter,Winger,84
Jack Clarke,England,Sunderland,WM,R,Attacking,Dribbler,Sprinter,Winger,84
Sergio Arribas,Spain,Almeria,WM,L,Attacking,Creator,Passer,Maestro,84
Santi Cazorla,Spain,Real Oviedo,CM,E,Balanced,Controller,Creator,Pivot,84
Fernandinho,Brazil,Athletico Paranaense,CM,R,Cautious,Cover,Commander,Anchor,84
Jordan Henderson,England,Ajax,CM,R,Cautious,Commander,Engine,General,84
James Ward-Prowse,England,West Ham,CM,R,Balanced,Passer,Creator,Playmaker,84
Oscar,Brazil,Shanghai Port,CM,R,Attacking,Creator,Dribbler,Magician,84
Oriol Romeu,Spain,Barcelona,CM,R,Cautious,Engine,Stopper,Destroyer,84
Dimitri Payet,France,West Ham,CM,R,Attacking,Creator,Striker,Fantasista,84
Christian Eriksen,Denmark,Manchester United,CM,R,Attacking,Passer,Creator,Playmaker,84
Boubacar Kamara,France,Aston Villa,CM,R,Balanced,Controller,Engine,Conductor,84
Mason Mount,England,Manchester United,CM,R,Balanced,Engine,Creator,Raumdeuter,84
Curtis Jones,England,Liverpool,CM,R,Balanced,Creator,Engine,Catalyst,84
Cheick Doucoure,Mali,Crystal Palace,CM,R,Balanced,Engine,Cover,Dynamo,84
Morten Hjulmand,Denmark,Sporting,CM,R,Balanced,Powerhouse,Engine,Gladiator,84
Ruben Loftus-Cheek,England,AC Milan,CM,R,Balanced,Creator,Passer,Maestro,84
Gabri Veiga,Brazil,Al-Ahli,CM,R,Attacking,Creator,Dribbler,Magician,84
Harvey Elliot,England,Liverpool,CM,L,Attacking,Creator,Striker,Fantasista,84
Sivert Mannsverk,Norway,Benfica,CM,R,Balanced,Engine,Passer,Metronome,84
Lucas Torreira,Uruguay,Galatasaray,CM,R,Cautious,Engine,Cover,Dynamo,84
Emile Smith Rowe,England,Arsenal,CM,R,Attacking,Creator,Dribbler,Magician,84
Mats Wieffer,Netherlands,Feyenoord,CM,R,Balanced,Controller,Engine,Conductor,84
Henrik Mkhitaryan,Armenia,Inter Milan,CM,R,Attacking,Creator,Engine,Catalyst,84
Casemiro,Brazil,Manchester United,CM,R,Balanced,Cover,Commander,Anchor,84
Dani Ceballos,Spain,Real Madrid,CM,R,Balanced,Creator,Engine,Catalyst,84
Geoffrey Kondogbia,Central African Republic,OM,CM,L,Balanced,Powerhouse,Engine,Gladiator,84
Andre,Brazil,Fluminense,CM,R,Balanced,Controller,Passer,Regista,84
Erik Lamela,Argentina,Sevilla,CM,L,Attacking,Creator,Dribbler,Magician,84
Alex Scott,England,Bournemouth,CM,R,Balanced,Creator,Engine,Catalyst,84
Sander Berge,Norway,Burnley,CM,R,Cautious,Powerhouse,Engine,Gladiator,84
Philip Billing,Denmark,Bournemouth,CM,L,Balanced,Creator,Engine,Catalyst,84
Vitaly Janelt,Germany,Brentford,CM,L,Balanced,Engine,Commander,Driver,84
James Milner,England,Brighton,CM,R,Balanced,Engine,Commander,Driver,84
Ryan Christie,Scotland,Bournemouth,CM,L,Balanced,Engine,Creator,Raumdeuter,84
Facundo Buonanotte,Argentina,Brighton,CM,L,Attacking,Creator,Engine,Catalyst,84
Romeo Lavia,Belgium,Chelsea,CM,R,Cautious,Controller,Engine,Conductor,84
Carney Chukwuemeka,England,Chelsea,CM,R,Attacking,Creator,Engine,Catalyst,84
Harrison Reed,England,Fulham,CM,R,Balanced,Engine,Commander,Driver,84
Aaron Ramsey,England,Burnley,CM,R,Balanced,Dribbler,Sprinter,Winger,84
Frank Onyeka,Nigeria,Brentford,CM,R,Balanced,Engine,Stopper,Destroyer,84
Giovani Lo Celso,Argentina,Tottenham Hotspur,CM,L,Attacking,Controller,Creator,Pivot,84
Danilo,Brazil,Nottingham Forest,CM,L,Balanced,Creator,Engine,Catalyst,84
Scott McTominay,Scotland,Manchester United,CM,R,Balanced,Engine,Aerial,Boxcrasher,84
Mario Lemina,Gabon,Wolves,CM,R,Balanced,Engine,Commander,Driver,84
Joao Gomes,Portugal,Wolves,CM,R,Balanced,Engine,Controller,Box-To-Box,84
Ryan Yates,England,Nottingham Forest,CM,R,Balanced,Engine,Commander,Driver,84
Idrissa Gueye,Senegal,Everton,CM,R,Cautious,Cover,Engine,Guardian,84
Jack Taylor,Ireland,Ipswich Town,CM,R,Balanced,Engine,Creator,Raumdeuter,84
Abdulkadir Omur,Turkey,Hull City,CM,L,Attacking,Creator,Dribbler,Magician,84
Martin Baturina,Croatia,Dinamo,CM,R,Balanced,Creator,Dribbler,Magician,84
Glen Kamara,Finland,Leeds United,CM,R,Balanced,Controller,Engine,Conductor,84
Cristian Medina,Argentina,Boca Juniors,CM,R,Balanced,Creator,Engine,Catalyst,84
Josh Laurent,England,Stoke City,CM,R,Balanced,Engine,Commander,Driver,84
Lucas Gourna-Douath,France,RB Salzburg,CM,R,Balanced,Controller,Engine,Conductor,84
Boubakary Soumare,France,Sevilla,CM,R,Balanced,Creator,Passer,Maestro,84
Ismael Kone,Canada,Watford,CM,L,Balanced,Cover,Engine,Guardian,84
Flynn Downes,England,Southampton,CM,R,Cautious,Engine,Stopper,Destroyer,84
Jean Michael Seri,Ivory Coast,Hull City,CM,R,Balanced,Controller,Passer,Regista,84
Yangel Herrera,Venezuela,Girona,CM,R,Balanced,Engine,Commander,Driver,84
Joris Chotard,France,Montpellier,CM,R,Balanced,Engine,Commander,Driver,84
Carlos Alcaraz,Argentina,Southampton,CM,R,Attacking,Creator,Passer,Maestro,84
Juan Sforza,Argentina,Newell's,CM,L,Attacking,Creator,Passer,Maestro,84
Charlie Patino,England,Swansea City,CM,R,Balanced,Controller,Engine,Conductor,84
Pablo Torre,Spain,Girona,CM,R,Attacking,Passer,Creator,Playmaker,84
Malik Tillman,USA,PSV,CM,R,Attacking,Creator,Dribbler,Magician,84
Fabio Miretti,Italy,Juventus,CM,R,Balanced,Engine,Creator,Raumdeuter,84
Kristjan Asllani,Albania,Inter Milan,CM,R,Balanced,Controller,Passer,Regista,84
Aimar,Spain,Athletic Bilbao,CM,R,Attacking,Creator,Passer,Maestro,84
Pablo Barrios,Spain,Atletico Madrid,CM,R,Balanced,Controller,Engine,Conductor,84
Joe Aribo,Nigeria,Southampton,CM,L,Attacking,Dribbler,Creator,Wizard,84
Benat Turrientes,Spain,Real Sociedad,CM,R,Balanced,Engine,Stopper,Destroyer,84
Arsen Zakharyan,Russia,Real Sociedad,CM,R,Attacking,Passer,Creator,Playmaker,84
Pablo Fornals,Spain,Real Betis,CM,R,Balanced,Creator,Engine,Catalyst,84
Wouter Burger,Netherlands,Stoke City,CM,L,Balanced,Engine,Controller,Box-To-Box,84
Boubacar Traore,Mali,Wolves,CM,R,Balanced,Engine,Powerhouse,Bison,84
Jon Olasagasti,Spain,Real Sociedad,CM,L,Balanced,Controller,Engine,Conductor,84
Daniel Johnson,Jamaica,Stoke City,CM,,,,,,84
Dennis Praet,Belgium,Leicester City,CM,R,Balanced,Passer,Creator,Playmaker,84
Harry Winks,England,Leicester City,CM,R,Balanced,Controller,Engine,Conductor,84
Marcelino Nunez,Chile,Norwich City,CM,R,Attacking,Creator,Passer,Maestro,84
Matt Grimes,England,Swansea City,CM,L,Balanced,Controller,Passer,Regista,84
Lewis Travis,,Ipswich Town,CM,R,Cautious,Engine,Commander,Driver,84
Lucas Beraldo,Brazil,PSG,CM,L,Cautious,Cover,Engine,Guardian,84
Nathaniel Chalobah,England,WBA,CM,R,Balanced,Controller,Passer,Regista,84
Callum O'Hare,England,Coventry City,CM,R,Attacking,Creator,Engine,Catalyst,84
Imran Louza,Morocco,Watford,CM,L,Balanced,Controller,Creator,Pivot,84
Denis Suarez,Spain,Villarreal,CM,R,Attacking,Creator,Passer,Maestro,84
John Swift,England,WBA,CM,R,,Controller,Passer,Regista,84
Joe Rothwell,,Bournemouth,CM,R,Attacking,Engine,Creator,Raumdeuter,84
Jamie Allen,England,Coventry City,CM,R,Balanced,Engine,Creator,Raumdeuter,84
Francis Coquelin,France,Villarreal,CM,R,Cautious,Cover,Engine,Guardian,84
Okay Yokuslu,England,WBA,CM,R,Balanced,Controller,Passer,Regista,84
Jordan Thompson,Northern Ireland,Stoke City,CM,L,Balanced,Engine,Cover,Dynamo,84
Heorhil Sudakhov,Ukraine,Shakhtar Donetsk,CM,R,Balanced,Creator,Engine,Catalyst,84
Santi Comesana,Spain,Villarreal,CM,R,Balanced,Controller,Engine,Conductor,84
Wilfried Gnonto,Italy,Leeds United,WF,R,Attacking,Dribbler,Creator,Wizard,84
Anthony Elanga,Sweden,Nottingham Forest,WF,R,Balanced,Sprinter,Striker,Ghost,84
Martin Terrier,France,Rennes,WF,R,Attacking,Creator,Striker,Fantasista,84
Pablo Sarabia,Spain,Wolves,WF,L,Attacking,Creator,Passer,Maestro,84
Steven Bergwijn,Netherlands,Ajax,WF,R,Attacking,Creator,Dribbler,Magician,84
Nicolas Gonzalez,Argentina,Sampdoria,WF,L,Attacking,Creator,Dribbler,Magician,84
David Neres,Brazil,Benfica,WF,L,Attacking,Creator,Dribbler,Magician,84
Mattia Zaccagni,Italy,Lazio,WF,R,Attacking,Creator,Dribbler,Magician,84
Pedro Goncalves,Portugal,Sporting,WF,R,Balanced,Creator,Striker,Fantasista,84
Jesper Karlsson,Sweden,Bologna,WF,R,Attacking,Creator,Dribbler,Magician,84
Jordan Ayew,Ghana,Crystal Palace,WF,R,Balanced,Creator,Dribbler,Magician,84
James McAtee,England,Sheffield United,WF,L,Attacking,Creator,Dribbler,Magician,84
Luis Sinisterra,Colombia,Bournemouth,WF,R,Attacking,Sprinter,Dribbler,Flash,84
Oscar Bobb,Sweden,Manchester City,WF,L,Attacking,Sprinter,Creator,Spark,84
Marcus Tavernier,England,Bournemouth,WF,L,Balanced,Creator,Dribbler,Magician,84
Dango Outtara,Burkina Faso,Bournemouth,WF,L,Attacking,Creator,Dribbler,Magician,84
Stephy Mavididi,DR Congo,Leicester City,WF,R,Attacking,Creator,Dribbler,Magician,84
Johan Bakayoko,Belgium,PSV,WF,L,Attacking,Sprinter,Creator,Spark,84
Zito Luvumbo,Angola,Cagliari,WF,L,Attacking,Dribbler,Creator,Wizard,84
Andreas Schjelderup,Norway,Nordsjaelland,WF,R,Attacking,Dribbler,Creator,Wizard,84
Daniel James,Wales,Leeds United,WF,R,Balanced,Sprinter,Creator,Spark,84
Kamaldeen Sulemana,Ghana,Southampton,WF,R,Attacking,Sprinter,Dribbler,Flash,84
Yaser Asprilla,Colombia,Watford,WF,L,Attacking,Creator,Dribbler,Magician,84
Yunus Akgun,Turkey,Leicester City,WF,L,Attacking,Dribbler,Creator,Wizard,84
Luiz Henrique,Brazil,Real Betis,WF,L,Attacking,Dribbler,Sprinter,Winger,84
Jaidon Anthony,,Leeds United,WF,R,Attacking,Sprinter,Dribbler,Flash,84
Abdul Fatawu,Ghana,Leicester City,WF,L,Attacking,Dribbler,Creator,Wizard,84
Arnor Sigurdsson,,Blackburn Rovers,WF,R,Attacking,Creator,Sprinter,Livewire,84
Jose Luis Morales,,Villarreal,WF,R,Attacking,Creator,Striker,Fantasista,84
Lucas Andersen,Denmark,QPR,WF,R,Attacking,Creator,Passer,Maestro,84
Ilias Akhomach,Spain,Villarreal,WF,L,Attacking,Creator,Dribbler,Magician,84
Chris Wood,New Zealand,Nottingham Forest,CF,R,Balanced,Aerial,Striker,Target,84
Evan Ferguson,Ireland,Brighton,CF,R,Balanced,Striker,Aerial,Hitman,84
Jean-Phillipe Mateta,France,Crystal Palace,CF,R,Balanced,Powerhouse,Striker,Spearhead,84
Joselu,Spain,Real Madrid,CF,R,Balanced,Powerhouse,Striker,Spearhead,84
Eddie Nketiah,England,Arsenal,CF,R,Balanced,Powerhouse,Striker,Spearhead,84
Borja Iglesias,Spain,Leverkusen,CF,R,Balanced,Striker,Engine,Poacher,84
Giacomo Raspadori,Italy,Napoli,CF,R,Attacking,Creator,Striker,Fantasista,84
Noah Okafor,Switzerland,AC Milan,CF,R,Attacking,Striker,Sprinter,Rocket,84
Vitinha,Portugal,Genoa,CF,R,Balanced,Engine,Striker,Livewire,84
Edinson Cavani,Uruguay,Boca Juniors,CF,R,Balanced,Sprinter,Powerhouse,Athlete,84
Odsonne Edouard,France,Crystal Palace,CF,R,Balanced,Striker,Creator,Assassin,84
Enes Unal,Turkey,Bournemouth,CF,R,Attacking,Striker,Powerhouse,Rifle,84
Anthony Martial,France,Manchester United,CF,R,Attacking,Creator,Sprinter,Livewire,84
Michail Antonio,Jamaica,West Ham,CF,R,Balanced,Powerhouse,Aerial,Tank,84
Hugo Ekitike,France,PSG,CF,R,Balanced,Sprinter,Striker,Ghost,84
Lorenzo Colombo,Italy,Monza,CF,L,Attacking,Creator,Striker,Fantasista,84
Haji Wright,USA,Coventry City,CF,R,Balanced,Powerhouse,Aerial,Tank,84
Paul Onuachu,Nigeria,Trabzonspor,CF,R,Attacking,Aerial,Powerhouse,Colossus,84
Michael Frey,Belgium,QPR,CF,R,Balanced,Engine,Striker,Livewire,84
Sardar Azmoun,Iran,Leverkusen,CF,R,Balanced,Engine,Creator,Raumdeuter,84
Che Adams,Scotland,Southampton,CF,R,Balanced,Powerhouse,Engine,Gladiator,84
Sam Gallagher,England,Blackburn Rovers,CF,R,Balanced,Engine,Powerhouse,Bison,84
Joel Piroe,Netherlands,Leeds United,CF,L,Attacking,Striker,Powerhouse,Rifle,84
Sekou Mara,France,Southampton,CF,R,,Creator,Sprinter,Livewire,84
Arnaud Kalimuendo,France,Rennes,CF,R,Attacking,Striker,Sprinter,Rocket,84
Brian Brobbey,Netherlands,Ajax,CF,R,Balanced,Powerhouse,Striker,Spearhead,84
Ryan Mmaee,Morocco,Stoke City,CF,R,Attacking,Striker,Sprinter,Rocket,84
Kieffer Moore,Wales,Ipswich Town,CF,R,,Aerial,Powerhouse,Colossus,84
Karlan Grant,England,WBA,CF,R,Attacking,Sprinter,Striker,Ghost,84
Patrick Bamford,,Leeds United,CF,L,Attacking,Striker,Engine,Poacher,84
Umar Sadiq,Nigeria,Real Sociedad,CF,R,Balanced,Sprinter,Striker,Ghost,84
Emanuel Emegha,Netherlands,Strasbourg,CF,R,Attacking,Sprinter,Dribbler,Flash,84
Cristian Stuani,Uruguay,Girona,CF,R,Balanced,Striker,Aerial,Hitman,84
Vitor Roque,Brazil,Barcelona,CF,R,Attacking,Striker,Creator,Assassin,84
Adam Hlozek,Czech Republic,Leverkusen,CF,R,Balanced,Sprinter,Powerhouse,Athlete,84
Marcus Forss,Finland,Middlesbrough,CF,R,Attacking,Striker,Sprinter,Rocket,84
Francisco Sierralta,Chile,Watford,,,,,,,83
Jake Livermore,England,Watford,,,,,,,83
Jose Sa,Portugal,Wolves,GK,R,Cautious,Orthodox,Distributor,Sentry,83
Ilan Meslier,France,Leeds United,GK,L,Balanced,Acrobat,Distributor,All-Rounder,83
James Trafford,England,Burnley,GK,R,Balanced,Distributor,Acrobat,Guardian,83
Sam Johnstone,England,Crystal Palace,GK,R,Cautious,Orthodox,Acrobat,Wall,83
Robin Olsen,Sweden,Aston Villa,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,83
Dorde Petrovic,Serbia,Chelsea,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,83
Adrian,Spain,Liverpool,GK,R,Cautious,Orthodox,Commander,Sentinel,83
Marcus Bettinelli,England,Chelsea,GK,R,Balanced,Orthodox,Commander,Sentinel,83
Ionut Radu,Romania,Bournemouth,GK,R,Cautious,Acrobat,Sweeper,Hawk,83
Loris Karius,Germany,Newcastle United,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,83
Matz Sels,Belgium,Nottingham Forest,GK,R,Cautious,Acrobat,Sweeper,Hawk,83
Odysseas Vlachodimos,Greece,Nottingham Forest,GK,R,Balanced,Acrobat,Orthodox,Shotstopper,83
Daniel Iversen,Denmark,Leicester City,GK,R,Cautious,Acrobat,Aerial,,83
Leopold Wahlstedt,Sweden,Blackburn Rovers,GK,R,Cautious,Acrobat,Sweeper,Hawk,83
Freddie Woodman,England,Preston North End,GK,R,Cautious,Aerial,Orthodox,Shotstopper,83
Vaclav Hladky,,Ipswich Town,GK,R,Balanced,Acrobat,Distributor,All-Rounder,83
Krisstoffer Klaesson,Sweden,Leeds United,GK,L,Cautious,Aerial,Acrobat,,83
Carl Rushworth,England,Swansea City,GK,L,Cautious,Acrobat,Sweeper,Hawk,83
Jakub Stolarczyk,Poland,Leicester City,GK,R,Balanced,Orthodox,Aerial,Wall,83
Christian Walton,England,Ipswich Town,GK,L,Cautious,Aerial,Acrobat,,83
Matt Ingram,England,Hull City,GK,L,Cautious,Acrobat,Sweeper,Hawk,83
Danny Ward,Wales,Leicester City,GK,R,Cautious,Orthodox,Acrobat,Wall,83
Ivor Pandur,Croatia,Hull City,GK,R,Cautious,Aerial,Orthodox,Shotstopper,83
John Ruddy,England,Birmingham City,GK,R,Cautious,Orthodox,Aerial,Wall,83
Lee Nicholls,England,Huddersfield Town,GK,R,Cautious,Aerial,Orthodox,Shotstopper,83
Asmir Begović,Bosnia,QPR,GK,R,Cautious,Orthodox,Acrobat,Wall,83
George Long,England,Norwich City,GK,L,Balanced,Acrobat,Distributor,All-Rounder,83
Cameron Dawson,England,Sheffield Wednesday,GK,R,Cautious,Aerial,Acrobat,,83
Ethan Horvath,USA,Bristol City,GK,R,Cautious,Aerial,Orthodox,,83
Karl Darlow,,Leeds United,GK,R,Cautious,Sweeper,Orthodox,,83
Joel Veltman,Netherlands,Brighton,WD ,R,Balanced,Cover,Stopper,Cornerback,83
Kostas Tsimikas,Greece,Liverpool,WD ,L,Balanced,Passer,Cover,Provider,83
Josh Doig,Scotland,Sassuolo,WD ,L,Balanced,Sprinter,Engine,Shuttler,83
Mads Roerslev,Denmark,Brentford,WD ,R,Balanced,Engine,Sprinter,Shuttler,83
Rico Lewis,England,Manchester City,WD ,R,Balanced,Controller,Passer,Regista,83
Issa Kaboré,Burkina Faso,Luton Town,WD ,R,Balanced,Sprinter,Cover,Flanker,83
Matty Cash,Poland,Aston Villa,WD ,R,Attacking,Sprinter,Engine,Shuttler,83
Marc Cucurella,Spain,Chelsea,WD ,L,Attacking,Sprinter,Engine,Shuttler,83
Vitinho,Brazil,Burnley,WD ,R,Balanced,Sprinter,Engine,Shuttler,83
Max Aarons,England,Bournemouth,WD ,R,Balanced,Sprinter,Engine,Shuttler,83
Cedric Soares,Portugal,Arsenal,WD ,R,Balanced,Engine,Cover,Dynamo,83
Jayden Bogle,England,Sheffield United,WD ,R,Balanced,Sprinter,Engine,Shuttler,83
Ben Davies,Wales,Tottenham Hotspur,WD ,L,Cautious,Cover,Stopper,Cornerback,83
Rayan Ait-Nouri,Algeria,Wolves,WD ,L,Balanced,Sprinter,Cover,Flanker,83
Ben Johnson,England,West Ham,WD ,R,Balanced,Engine,Sprinter,Shuttler,83
Max Lowe,England,Sheffield United,WD ,L,Attacking,Sprinter,Passer,Wing Back,83
Tino Livramento,England,Newcastle United,WD ,R,Balanced,Engine,Powerhouse,Bison,83
Ola Aina,Nigeria,Nottingham Forest,WD ,R,Attacking,Sprinter,Engine,Shuttler,83
Hugo Bueno,Spain,Wolves,WD ,L,Attacking,Sprinter,Passer,Wing Back,83
Emerson Royal,Brazil,Tottenham Hotspur,WD ,R,Attacking,Sprinter,Engine,Shuttler,83
Lee Buchanan,England,Birmingham City,WD ,L,Balanced,Sprinter,Engine,Shuttler,83
Jamal Lewis,Northern Ireland,Watford,WD ,L,Balanced,Sprinter,Cover,Flanker,83
Ken Sema,Sweden,Watford,WD ,L,Balanced,Engine,Sprinter,Shuttler,83
Liam Palmer,Scotland,Sheffield Wednesday,WD ,R,Balanced,Engine,Dribbler,Tornate,83
Timothee Pembele,France,Sunderland,WD ,R,Balanced,Sprinter,Engine,Shuttler,83
Anfernee Dijksteel,Suriname,Middlesbrough,WD ,R,Balanced,Engine,Controller,Box-To-Box,83
Devyne Rensch,Netherlands,Ajax,WD ,R,Balanced,Cover,Controller,Anchor,83
Luke Ayling,England,Middlesbrough,WD ,R,Balanced,Engine,Cover,Dynamo,83
Ivan Fresneda,Spain,Sporting,WD ,R,Balanced,Sprinter,Engine,Shuttler,83
Milan van Ewijk,Netherlands,Coventry City,WD ,R,Balanced,Sprinter,Engine,Shuttler,83
Harrison Ashby,Scotland,Swansea City,WD ,R,Balanced,Engine,Cover,Dynamo,83
Dimitris Giannoulis,Greece,Norwich City,WD ,L,Balanced,Sprinter,Engine,Shuttler,83
Ryan Andrews,England,Watford,WD ,R,Attacking,Sprinter,Powerhouse,Athlete,83
Timothy Fosu-Mensah,Belgium,Leverkusen,WD ,R,Balanced,Engine,Powerhouse,Bison,83
Kyle Naughton,England,Swansea City,WD ,R,Balanced,Controller,Engine,Conductor,83
Enda Stevens,Ireland,Stoke City,WD ,L,Balanced,Engine,Cover,Dynamo,83
Trai Hume,Northern Ireland,Sunderland,WD ,R,Cautious,Stopper,Cover,Shield,83
James Bree,England,Southampton,WD ,R,Balanced,Engine,Cover,Dynamo,83
Sam Byram,England,Leeds United,WD ,R,Balanced,Cover,Engine,Guardian,83
Harry Pickering,England,Blackburn Rovers,WD ,L,Balanced,Engine,Cover,Dynamo,83
Sam McCallum,England,Norwich City,WD ,L,Balanced,Engine,Cover,Dynamo,83
Jake Bidwell,England,Coventry City,WD ,L,Balanced,Engine,Cover,Dynamo,83
Morgan Fox,Wales,QPR,WD ,L,Balanced,Engine,Cover,Dynamo,83
Harry Clarke,England,Ipswich Town,WD ,R,Balanced,Engine,Sprinter,Shuttler,83
Joao Ferrerira,Portugal,Watford,WD ,R,Balanced,Engine,Sprinter,Shuttler,83
